;time, elevation
0.000, 0.020
3600.000, -0.050
7200.000, -0.100
10800.000, -0.120
14400.000, -0.120
18000.000, -0.090
21600.000, -0.050
25200.000, 0.010
28800.000, 0.080
32400.000, 0.140
36000.000, 0.170
39600.000, 0.160
43200.000, 0.100
46800.000, 0.020
50400.000, -0.060
54000.000, -0.110
57600.000, -0.130
61200.000, -0.130
64800.000, -0.110
68400.000, -0.070
72000.000, -0.000
75600.000, 0.060
79200.000, 0.120
82800.000, 0.130
86400.000, 0.100
90000.000, 0.030
93600.000, -0.040
97200.000, -0.100
100800.000, -0.120
104400.000, -0.110
108000.000, -0.090
111600.000, -0.040
115200.000, 0.020
118800.000, 0.100
122400.000, 0.160
126000.000, 0.190
129600.000, 0.170
133200.000, 0.100
136800.000, 0.000
140400.000, -0.080
144000.000, -0.140
147600.000, -0.160
151200.000, -0.160
154800.000, -0.130
158400.000, -0.080
162000.000, -0.010
165600.000, 0.070
169200.000, 0.130
172800.000, 0.140
176400.000, 0.110
180000.000, 0.040
183600.000, -0.040
187200.000, -0.090
190800.000, -0.110
194400.000, -0.110
198000.000, -0.080
201600.000, -0.030
205200.000, 0.040
208800.000, 0.120
212400.000, 0.180
216000.000, 0.210
219600.000, 0.170
223200.000, 0.090
226800.000, -0.020
230400.000, -0.110
234000.000, -0.170
237600.000, -0.190
241200.000, -0.180
244800.000, -0.150
248400.000, -0.080
252000.000, 0.000
255600.000, 0.090
259200.000, 0.150
262800.000, 0.160
266400.000, 0.110
270000.000, 0.040
273600.000, -0.040
277200.000, -0.090
280800.000, -0.110
284400.000, -0.100
288000.000, -0.070
291600.000, -0.010
295200.000, 0.070
298800.000, 0.150
302400.000, 0.200
306000.000, 0.210
309600.000, 0.160
313200.000, 0.060
316800.000, -0.050
320400.000, -0.140
324000.000, -0.200
327600.000, -0.210
331200.000, -0.200
334800.000, -0.150
338400.000, -0.070
342000.000, 0.020
345600.000, 0.110
349200.000, 0.160
352800.000, 0.160
356400.000, 0.110
360000.000, 0.030
363600.000, -0.050
367200.000, -0.100
370800.000, -0.110
374400.000, -0.090
378000.000, -0.050
381600.000, 0.020
385200.000, 0.090
388800.000, 0.170
392400.000, 0.210
396000.000, 0.210
399600.000, 0.140
403200.000, 0.030
406800.000, -0.080
410400.000, -0.170
414000.000, -0.220
417600.000, -0.220
421200.000, -0.190
424800.000, -0.140
428400.000, -0.050
432000.000, 0.100
435600.000, 0.100
439200.000, 0.070
442800.000, 0.020
446400.000, -0.040
450000.000, -0.070
453600.000, -0.080
457200.000, -0.060
460800.000, -0.020
464400.000, 0.030
468000.000, 0.090
471600.000, 0.140
475200.000, 0.170
478800.000, 0.160
482400.000, 0.110
486000.000, 0.030
489600.000, -0.060
493200.000, -0.140
496800.000, -0.180
500400.000, -0.190
504000.000, -0.160
507600.000, -0.110
511200.000, -0.050
514800.000, 0.020
518400.000, 0.090
522000.000, 0.120
525600.000, 0.120
529200.000, 0.070
532800.000, 0.010
536400.000, -0.050
540000.000, -0.080
543600.000, -0.080
547200.000, -0.050
550800.000, -0.010
554400.000, 0.050
558000.000, 0.120
561600.000, 0.170
565200.000, 0.190
568800.000, 0.170
572400.000, 0.100
576000.000, -0.000
579600.000, -0.100
583200.000, -0.180
586800.000, -0.210
590400.000, -0.200
594000.000, -0.170
597600.000, -0.100
601200.000, -0.030
604800.000, 0.060
608400.000, 0.120
612000.000, 0.140
615600.000, 0.120
619200.000, 0.060
622800.000, -0.010
626400.000, -0.070
630000.000, -0.100
633600.000, -0.090
637200.000, -0.050
640800.000, 0.010
644400.000, 0.080
648000.000, 0.140
651600.000, 0.190
655200.000, 0.200
658800.000, 0.160
662400.000, 0.070
666000.000, -0.040
669600.000, -0.140
673200.000, -0.210
676800.000, -0.230
680400.000, -0.210
684000.000, -0.160
687600.000, -0.080
691200.000, 0.010
694800.000, 0.090
698400.000, 0.150
702000.000, 0.160
705600.000, 0.120
709200.000, 0.050
712800.000, -0.030
716400.000, -0.090
720000.000, -0.110
723600.000, -0.090
727200.000, -0.040
730800.000, 0.030
734400.000, 0.100
738000.000, 0.160
741600.000, 0.200
745200.000, 0.200
748800.000, 0.140
752400.000, 0.040
756000.000, -0.080
759600.000, -0.180
763200.000, -0.230
766800.000, -0.240
770400.000, -0.200
774000.000, -0.140
777600.000, -0.050
781200.000, 0.040
784800.000, 0.120
788400.000, 0.160
792000.000, 0.160
795600.000, 0.110
799200.000, 0.030
802800.000, -0.060
806400.000, -0.110
810000.000, -0.110
813600.000, -0.080
817200.000, -0.030
820800.000, 0.040
824400.000, 0.120
828000.000, 0.180
831600.000, 0.210
835200.000, 0.190
838800.000, 0.120
842400.000, 0.010
846000.000, -0.110
849600.000, -0.200
853200.000, -0.240
856800.000, -0.230
860400.000, -0.180
864000.000, -0.110
867600.000, -0.020
871200.000, 0.070
874800.000, 0.140
878400.000, 0.170
882000.000, 0.160
885600.000, 0.090
889200.000, 0.000
892800.000, -0.070
896400.000, -0.120
900000.000, -0.110
903600.000, -0.070
907200.000, -0.010
910800.000, 0.060
914400.000, 0.120
918000.000, 0.180
921600.000, 0.200
925200.000, 0.170
928800.000, 0.090
932400.000, -0.020
936000.000, -0.130
939600.000, -0.210
943200.000, -0.230
946800.000, -0.210
950400.000, -0.150
954000.000, -0.070
957600.000, 0.010
961200.000, 0.090
964800.000, 0.150
968400.000, 0.180
