;x,z,nmann,xutm,yutm,AngMd,AngMi,Q
0.000,-2.700,0.030,767376.023,4156831.364,3.078,-0.064,20.000
50.000,-2.642,0.030,767372.832,4156781.466,3.078,-0.064,20.000
100.000,-2.585,0.030,767369.642,4156731.568,3.078,-0.064,20.000
150.000,-2.528,0.030,767366.451,4156681.670,3.078,-0.064,20.000
200.000,-2.470,0.030,767363.261,4156631.772,3.078,-0.064,20.000
250.000,-2.426,0.030,767360.071,4156581.874,3.078,-0.064,20.000
300.000,-2.422,0.030,767356.880,4156531.976,3.061,-0.081,20.000
350.000,-2.443,0.030,767352.849,4156482.142,2.991,-0.151,20.000
400.000,-2.480,0.030,767345.332,4156432.737,2.973,-0.168,20.000
450.000,-2.528,0.030,767336.965,4156383.442,2.782,-0.359,20.000
500.000,-2.561,0.030,767319.390,4156336.652,2.753,-0.388,20.000
550.000,-2.564,0.030,767300.469,4156290.387,2.689,-0.452,20.000
600.000,-2.566,0.030,767278.619,4156245.422,2.661,-0.481,20.000
650.000,-2.568,0.030,767255.489,4156201.094,2.661,-0.481,20.000
700.000,-2.569,0.030,767232.358,4156156.766,2.661,-0.481,20.000
750.000,-2.569,0.030,767209.228,4156112.438,2.661,-0.481,20.000
800.000,-2.568,0.030,767186.097,4156068.110,2.661,-0.481,20.000
850.000,-2.567,0.030,767162.967,4156023.782,2.661,-0.481,20.000
900.000,-2.568,0.030,767139.836,4155979.454,2.657,-0.485,20.000
950.000,-2.574,0.030,767116.529,4155935.226,2.583,-0.558,20.000
1000.000,-2.582,0.030,767090.056,4155892.828,2.524,-0.617,20.000
1050.000,-2.587,0.030,767061.118,4155852.053,2.479,-0.663,20.000
1100.000,-2.588,0.030,767030.399,4155812.723,2.329,-0.812,20.000
1150.000,-2.586,0.030,766994.194,4155778.426,2.252,-0.890,20.000
1200.000,-2.580,0.030,766955.349,4155746.945,2.211,-0.931,20.000
1250.000,-2.570,0.030,766915.255,4155717.107,2.133,-1.008,20.000
1300.000,-2.557,0.030,766872.979,4155690.457,2.116,-1.026,20.000
1350.000,-2.541,0.030,766830.217,4155664.545,2.116,-1.026,20.000
1400.000,-2.520,0.030,766787.455,4155638.633,2.116,-1.026,20.000
1450.000,-2.496,0.030,766744.693,4155612.722,2.121,-1.021,20.000
1500.000,-2.474,0.030,766702.074,4155586.580,2.161,-0.980,20.000
1550.000,-2.454,0.030,766660.558,4155558.763,2.206,-0.936,20.000
1600.000,-2.437,0.030,766620.301,4155529.108,2.206,-0.936,20.000
1650.000,-2.422,0.030,766580.044,4155499.454,2.235,-0.907,20.000
1700.000,-2.410,0.030,766540.671,4155468.655,2.351,-0.790,20.000
1750.000,-2.400,0.030,766505.204,4155433.535,2.386,-0.756,20.000
1800.000,-2.393,0.030,766470.914,4155397.145,2.387,-0.755,20.000
1850.000,-2.388,0.030,766436.657,4155360.726,2.418,-0.723,20.000
1900.000,-2.386,0.030,766403.576,4155323.251,2.476,-0.666,20.000
1950.000,-2.382,0.030,766372.700,4155283.924,2.476,-0.666,20.000
2000.000,-2.377,0.030,766341.823,4155244.596,2.476,-0.666,20.000
2050.000,-2.370,0.030,766310.947,4155205.269,2.476,-0.666,20.000
2100.000,-2.364,0.030,766280.071,4155165.942,2.476,-0.666,20.000
2150.000,-2.360,0.030,766249.194,4155126.614,2.476,-0.666,20.000
2200.000,-2.358,0.030,766218.318,4155087.287,2.476,-0.666,20.000
2250.000,-2.359,0.030,766187.441,4155047.959,2.476,-0.666,20.000
2300.000,-2.361,0.030,766156.565,4155008.632,2.476,-0.666,20.000
2350.000,-2.366,0.030,766125.688,4154969.305,2.476,-0.666,20.000
2400.000,-2.373,0.030,766094.812,4154929.977,2.476,-0.666,20.000
2450.000,-2.382,0.030,766063.936,4154890.650,2.476,-0.666,20.000
2500.000,-2.394,0.030,766033.059,4154851.322,2.476,-0.666,20.000
2550.000,-2.407,0.030,766002.183,4154811.995,2.476,-0.666,20.000
2600.000,-2.421,0.030,765971.306,4154772.667,2.476,-0.666,20.000
2650.000,-2.435,0.030,765940.430,4154733.340,2.476,-0.666,20.000
2700.000,-2.450,0.030,765909.553,4154694.013,2.476,-0.666,20.000
2750.000,-2.465,0.030,765878.677,4154654.685,2.476,-0.666,20.000
2800.000,-2.480,0.030,765847.801,4154615.358,2.476,-0.666,20.000
2850.000,-2.496,0.030,765816.924,4154576.030,2.476,-0.666,20.000
2900.000,-2.512,0.030,765786.048,4154536.703,2.476,-0.666,20.000
2950.000,-2.529,0.030,765755.171,4154497.375,2.476,-0.666,20.000
3000.000,-2.546,0.030,765724.295,4154458.048,2.461,-0.681,20.000
3050.000,-2.563,0.030,765692.827,4154419.197,2.439,-0.703,20.000
3100.000,-2.580,0.030,765660.513,4154381.044,2.434,-0.708,20.000
3150.000,-2.592,0.030,765628.001,4154343.058,2.434,-0.708,20.000
3200.000,-2.600,0.030,765595.489,4154305.072,2.361,-0.780,20.000
3250.000,-2.602,0.030,765560.322,4154269.533,2.349,-0.793,20.000
3300.000,-2.600,0.030,765524.716,4154234.430,2.348,-0.794,20.000
